Vote-Distinct	Cnt
Mary Peltola-Nick Begich-No Vote-No Vote	21500
Sarah Palin-Nick Begich-No Vote-No Vote	20346
Mary Peltola-No Vote-No Vote-No Vote	19461
Sarah Palin-No Vote-No Vote-No Vote	18954
Nick Begich-Sarah Palin-No Vote-No Vote	17368
Mary Peltola-Nick Begich-Sarah Palin-No Vote	14576
Nick Begich-No Vote-No Vote-No Vote	9796
Sarah Palin-Nick Begich-Mary Peltola-No Vote	9224
Nick Begich-Mary Peltola-Sarah Palin-No Vote	6454
Nick Begich-Sarah Palin-Mary Peltola-No Vote	6175
Nick Begich-Mary Peltola-No Vote-No Vote	5503
Mary Peltola-WriteIn-No Vote-No Vote	3148
No Vote-No Vote-No Vote-No Vote	2777
Mary Peltola-Sarah Palin-Nick Begich-No Vote	2439
Sarah Palin-Mary Peltola-Nick Begich-No Vote	2393
Mary Peltola-WriteIn-Nick Begich-Sarah Palin	2387
Mary Peltola-WriteIn-Nick Begich-No Vote	2137
Mary Peltola-Nick Begich-WriteIn-No Vote	1972
Mary Peltola-Nick Begich-WriteIn-Sarah Palin	1916
Sarah Palin-Nick Begich-WriteIn-No Vote	1162
Nick Begich-Sarah Palin-WriteIn-No Vote	1135
Sarah Palin-Sarah Palin-Sarah Palin-Sarah Palin	1058
Mary Peltola-Nick Begich-No Vote-Sarah Palin	1050
Mary Peltola-Sarah Palin-No Vote-No Vote	901
Sarah Palin-Nick Begich-WriteIn-Mary Peltola	830
Nick Begich-Mary Peltola-WriteIn-Sarah Palin	744
Nick Begich-Mary Peltola-No Vote-Sarah Palin	675
Sarah Palin-Nick Begich-No Vote-Mary Peltola	539
Nick Begich-Sarah Palin-WriteIn-Mary Peltola	510
Nick Begich-Mary Peltola-WriteIn-No Vote	507
WriteIn-No Vote-No Vote-No Vote	499
Mary Peltola-WriteIn-Sarah Palin-Nick Begich	492
Mary Peltola-Mary Peltola-Mary Peltola-Mary Peltola	474
Sarah Palin-Mary Peltola-No Vote-No Vote	464
Sarah Palin-WriteIn-No Vote-No Vote	460
Mary Peltola-No Vote-Nick Begich-Sarah Palin	453
Nick Begich-WriteIn-No Vote-No Vote	413
WriteIn-Mary Peltola-Nick Begich-Sarah Palin	386
Nick Begich-Nick Begich-Nick Begich-Nick Begich	375
Nick Begich-WriteIn-Mary Peltola-Sarah Palin	329
Mary Peltola-Nick Begich-Sarah Palin-WriteIn	294
Sarah Palin-WriteIn-Nick Begich-No Vote	292
Sarah Palin-WriteIn-Nick Begich-Mary Peltola	288
Sarah Palin-Nick Begich-Mary Peltola-WriteIn	277
Nick Begich-No Vote-Mary Peltola-Sarah Palin	271
Nick Begich-WriteIn-Sarah Palin-No Vote	271
Nick Begich-Sarah Palin-No Vote-Mary Peltola	269
WriteIn-Nick Begich-Mary Peltola-Sarah Palin	256
Mary Peltola-WriteIn-Sarah Palin-No Vote	252
WriteIn-Mary Peltola-Nick Begich-No Vote	238
WriteIn-Mary Peltola-No Vote-No Vote	221
WriteIn-Nick Begich-No Vote-No Vote	218
WriteIn-Nick Begich-Sarah Palin-No Vote	213
Nick Begich-WriteIn-Sarah Palin-Mary Peltola	202
WriteIn-Nick Begich-Sarah Palin-Mary Peltola	178
Nick Begich-Sarah Palin-Mary Peltola-WriteIn	178
Sarah Palin-No Vote-Nick Begich-Mary Peltola	160
No Vote-Sarah Palin-No Vote-No Vote	154
Nick Begich-WriteIn-Mary Peltola-No Vote	152
No Vote-Nick Begich-No Vote-No Vote	145
WriteIn-Nick Begich-Mary Peltola-No Vote	145
Sarah Palin-No Vote-Mary Peltola-Nick Begich	132
WriteIn-Sarah Palin-Nick Begich-Mary Peltola	130
Nick Begich-Mary Peltola-Sarah Palin-WriteIn	130
Sarah Palin-WriteIn-Mary Peltola-Nick Begich	119
WriteIn-Sarah Palin-Nick Begich-No Vote	115
Sarah Palin-Sarah Palin-Sarah Palin-No Vote	114
Sarah Palin-Mary Peltola-No Vote-Nick Begich	100
WriteIn-Sarah Palin-No Vote-No Vote	100
WriteIn-Mary Peltola-Sarah Palin-Nick Begich	98
Sarah Palin-Nick Begich-Sarah Palin-Nick Begich	93
overvote-No Vote-No Vote-No Vote	93
Nick Begich-No Vote-No Vote-Sarah Palin	92
Sarah Palin-No Vote-Nick Begich-No Vote	89
Mary Peltola-Mary Peltola-Mary Peltola-No Vote	86
Sarah Palin-Nick Begich-Sarah Palin-Sarah Palin	83
Mary Peltola-No Vote-Nick Begich-No Vote	82
Mary Peltola-Sarah Palin-Nick Begich-WriteIn	78
Mary Peltola-Sarah Palin-WriteIn-No Vote	77
Sarah Palin-Mary Peltola-Nick Begich-WriteIn	77
Sarah Palin-No Vote-No Vote-Nick Begich	76
Sarah Palin-Sarah Palin-No Vote-No Vote	73
Mary Peltola-Sarah Palin-WriteIn-Nick Begich	67
Sarah Palin-Mary Peltola-WriteIn-Nick Begich	67
Nick Begich-Sarah Palin-Nick Begich-Sarah Palin	67
Nick Begich-No Vote-Sarah Palin-Mary Peltola	67
No Vote-Nick Begich-Sarah Palin-No Vote	63
Mary Peltola-No Vote-No Vote-overvote	61
Nick Begich-No Vote-Sarah Palin-No Vote	57
Mary Peltola-No Vote-Sarah Palin-Nick Begich	53
Nick Begich-Nick Begich-Nick Begich-No Vote	52
Sarah Palin-Nick Begich-WriteIn-WriteIn	52
Mary Peltola-No Vote-No Vote-Nick Begich	51
Mary Peltola-No Vote-No Vote-Sarah Palin	51
Mary Peltola-Nick Begich-Mary Peltola-No Vote	51
Sarah Palin-overvote-No Vote-No Vote	51
Nick Begich-No Vote-No Vote-overvote	50
WriteIn-Sarah Palin-Mary Peltola-Nick Begich	47
Nick Begich-Sarah Palin-Nick Begich-Nick Begich	47
Sarah Palin-Nick Begich-Sarah Palin-No Vote	46
Mary Peltola-Mary Peltola-No Vote-No Vote	44
Sarah Palin-No Vote-No Vote-overvote	44
Mary Peltola-Sarah Palin-No Vote-Nick Begich	43
Nick Begich-Sarah Palin-Nick Begich-No Vote	38
Sarah Palin-Nick Begich-Nick Begich-No Vote	36
Mary Peltola-No Vote-Sarah Palin-No Vote	35
Sarah Palin-Sarah Palin-Nick Begich-Nick Begich	35
Nick Begich-Nick Begich-No Vote-No Vote	34
No Vote-Sarah Palin-Mary Peltola-No Vote	33
Sarah Palin-Nick Begich-Nick Begich-Nick Begich	33
Sarah Palin-WriteIn-WriteIn-WriteIn	31
Mary Peltola-Nick Begich-Mary Peltola-Mary Peltola	31
No Vote-Nick Begich-Mary Peltola-Sarah Palin	30
overvote-Nick Begich-No Vote-No Vote	30
Sarah Palin-Mary Peltola-WriteIn-No Vote	30
Mary Peltola-Nick Begich-Sarah Palin-Sarah Palin	30
Sarah Palin-No Vote-Mary Peltola-No Vote	29
Mary Peltola-Nick Begich-Mary Peltola-Nick Begich	28
Sarah Palin-Sarah Palin-Sarah Palin-Nick Begich	28
WriteIn-WriteIn-WriteIn-WriteIn	27
Mary Peltola-Nick Begich-Nick Begich-No Vote	27
Nick Begich-Mary Peltola-Nick Begich-Mary Peltola	27
Nick Begich-Sarah Palin-WriteIn-WriteIn	27
Sarah Palin-WriteIn-Mary Peltola-No Vote	25
No Vote-Mary Peltola-No Vote-No Vote	25
Nick Begich-No Vote-Mary Peltola-No Vote	23
Nick Begich-Mary Peltola-Nick Begich-No Vote	23
WriteIn-Sarah Palin-Mary Peltola-No Vote	22
No Vote-No Vote-No Vote-Sarah Palin	21
No Vote-Mary Peltola-Nick Begich-No Vote	20
No Vote-Mary Peltola-Nick Begich-Sarah Palin	20
Nick Begich-Mary Peltola-Sarah Palin-Sarah Palin	20
Sarah Palin-Nick Begich-No Vote-WriteIn	19
Mary Peltola-WriteIn-Nick Begich-WriteIn	19
Mary Peltola-Nick Begich-WriteIn-WriteIn	19
WriteIn-Mary Peltola-Sarah Palin-No Vote	19
No Vote-Sarah Palin-Nick Begich-No Vote	18
No Vote-Nick Begich-Mary Peltola-No Vote	18
